,tweet_length
0,112
1,110
2,108
3,106
4,104
5,113
6,107
7,107
8,90
9,81
10,106
11,103
12,106
13,78
14,113
15,109
16,96
17,104
18,108
19,108
20,100
21,111
22,105
23,107
24,97
25,87
26,104
27,102
28,100
29,105
30,108
31,102
32,115
33,92
34,96
35,110
36,100
37,111
38,114
39,102
40,122
41,127
42,103
43,106
44,102
45,104
46,101
47,94
48,105
49,105
50,108
51,68
52,79
53,76
54,96
55,100
56,113
57,109
58,113
59,109
60,106
61,102
62,109
63,102
64,94
65,103
66,100
67,104
68,105
69,108
70,88
71,112
72,108
73,120
74,107
75,108
76,113
77,106
78,104
79,101
80,112
81,111
82,100
83,98
84,97
85,110
86,104
87,104
88,115
89,112
90,92
91,109
92,105
93,81
94,112
95,91
96,103
97,113
98,113
99,102
100,103
101,112
102,107
103,105
104,109
105,100
106,113
107,102
108,118
109,111
110,91
111,109
112,109
113,110
114,107
115,103
116,104
117,109
118,113
119,103
120,113
121,114
122,117
123,108
124,105
125,103
126,111
127,108
128,104
129,107
130,107
131,109
132,84
133,78
134,76
135,93
136,108
137,112
138,107
139,111
140,103
141,95
142,107
143,104
144,102
145,107
146,113
147,83
148,88
149,95
150,106
151,90
152,113
153,105
154,113
155,90
156,110
157,111
158,104
159,104
160,99
161,109
162,107
163,89
164,109
165,109
166,108
167,99
168,106
169,93
170,108
171,107
172,106
173,112
174,113
175,111
176,106
177,102
178,111
179,108
180,109
181,105
182,115
183,107
184,107
185,109
186,109
187,89
188,112
189,99
190,99
191,103
192,106
193,101
194,98
195,110
196,102
197,110
198,95
199,112
200,105
201,119
202,97
203,112
204,113
205,100
206,64
207,66
208,77
209,76
210,72
211,56
212,85
213,64
214,108
215,110
216,112
217,127
218,105
219,96
220,111
221,106
222,89
223,101
224,107
225,110
226,97
227,109
228,109
229,105
230,102
231,104
232,101
233,108
234,105
235,113
236,95
237,103
238,97
239,93
240,113
241,131
242,112
243,108
244,106
245,104
246,109
247,112
248,111
249,110
250,106
251,108
252,101
253,102
254,110
255,99
256,109
257,98
258,113
259,109
260,98
261,111
262,117
263,87
264,112
265,106
266,96
267,100
268,107
269,113
270,104
271,106
272,108
273,110
274,111
275,103
276,102
277,111
278,112
279,111
280,106
281,111
282,112
283,113
284,112
285,108
286,105
287,106
288,112
289,99
290,105
291,95
292,113
293,74
294,77
295,70
296,88
297,84
298,113
299,105
300,102
301,112
302,88
303,113
304,103
305,109
306,106
307,94
308,112
309,104
310,105
311,87
312,100
313,106
314,103
315,103
316,107
317,96
318,112
319,112
320,108
321,114
322,98
323,96
324,106
325,112
326,106
327,100
328,96
329,110
330,108
331,99
332,112
333,117
334,110
335,96
336,112
337,106
338,104
339,108
340,106
341,108
342,96
343,112
344,105
345,104
346,69
347,91
348,105
349,104
350,116
351,110
352,108
353,99
354,99
355,113
356,102
357,107
358,115
359,80
360,81
361,103
362,105
363,100
364,100
365,99
366,98
367,102
368,103
369,108
370,104
371,119
372,111
373,112
374,104
375,112
376,109
377,97
378,128
379,92
380,110
381,90
382,112
383,98
384,99
385,113
386,108
387,112
388,113
389,84
390,105
391,96
392,110
393,103
394,109
395,95
396,109
397,111
398,94
399,94
400,96
401,113
402,111
403,93
404,98
405,97
406,112
407,111
408,103
409,108
410,111
411,110
412,106
413,110
414,105
415,99
416,100
417,99
418,100
419,110
420,108
421,107
422,110
423,110
424,101
425,116
426,83
427,102
428,104
429,102
430,78
431,97
432,96
433,84
434,81
435,83
436,76
437,98
438,79
439,57
440,92
441,70
442,72
443,74
444,81
445,74
446,108
447,110
448,100
449,103
450,100
451,109
452,80
453,108
454,102
455,102
456,104
457,111
458,105
459,106
460,113
461,99
462,107
463,113
464,113
465,103
466,93
467,110
468,106
469,102
470,111
471,83
472,104
473,108
474,113
475,115
476,103
477,113
478,80
479,87
480,112
481,112
482,87
483,113
484,84
485,110
486,112
487,112
488,109
489,99
490,118
491,102
492,112
493,110
494,100
495,87
496,106
497,112
498,109
499,111
500,112
501,106
502,105
503,113
504,103
505,98
506,110
507,111
508,119
509,103
510,113
511,103
512,107
513,104
514,100
515,102
516,113
517,104
518,112
519,114
520,108
521,99
522,98
523,109
524,93
525,113
526,99
527,72
528,82
529,89
530,107
531,104
532,107
533,108
534,103
535,113
536,106
537,111
538,107
539,105
540,108
541,77
542,97
543,109
544,106
545,112
546,100
547,105
548,107
549,111
550,108
551,112
552,107
553,111
554,108
555,107
556,103
557,101
558,118
559,99
560,113
561,115
562,109
563,107
564,110
565,104
566,107
567,91
568,108
569,110
570,95
571,100
572,102
573,108
574,99
575,100
576,113
577,112
578,105
579,109
580,107
581,107
582,112
583,100
584,72
585,110
586,102
587,101
588,106
589,118
590,100
591,104
592,93
593,111
594,106
595,72
596,68
597,96
598,68
599,109
600,105
601,95
602,106
603,106
604,105
605,113
606,87
607,104
608,107
609,103
610,93
611,93
612,109
613,103
614,100
615,108
616,106
617,111
618,106
619,108
620,104
621,108
622,106
623,103
624,108
625,111
626,107
627,115
628,112
629,105
630,101
631,111
632,107
633,107
634,112
635,106
636,110
637,106
638,107
639,100
640,111
641,106
642,104
643,86
644,101
645,74
646,106
647,109
648,109
649,95
650,89
651,112
652,97
653,113
654,108
655,125
656,112
657,103
658,118
659,107
660,99
661,109
662,102
663,106
664,81
665,110
666,112
667,101
668,100
669,118
670,113
671,107
672,105
673,109
674,127
675,101
676,100
677,102
678,101
679,96
680,108
681,72
682,111
683,73
684,102
685,110
686,98
687,108
688,109
689,106
690,110
691,103
692,108
693,113
694,111
695,91
696,107
697,90
