,word_count
0,31
1,24
2,23
3,25
4,11
5,18
6,4
7,30
8,26
9,23
10,22
11,14
12,26
13,32
14,32
15,28
16,28
17,26
18,10
19,32
20,23
21,18
22,28
23,25
24,23
25,13
26,30
27,24
28,27
29,33
30,28
31,11
32,14
33,22
34,26
35,11
36,21
37,29
38,32
39,35
40,7
41,24
42,4
43,29
44,24
45,32
46,30
47,23
48,31
49,30
50,25
51,25
52,30
53,13
54,30
55,16
56,9
57,18
58,26
59,26
60,24
61,33
62,10
63,10
64,33
65,18
66,13
67,23
68,8
69,21
70,32
71,19
72,25
73,13
74,8
75,30
76,28
77,28
78,29
79,32
80,24
81,25
82,28
83,28
84,26
85,7
86,26
87,9
88,29
89,24
90,29
91,24
92,10
93,16
94,24
95,13
96,37
97,22
98,12
99,35
100,35
101,26
102,19
103,36
104,27
105,26
106,29
107,30
108,21
109,14
110,25
111,13
112,20
113,27
114,27
115,18
116,23
117,16
118,21
119,23
120,23
121,34
122,32
123,29
124,28
125,30
126,28
127,23
128,17
129,29
130,12
131,34
132,31
133,27
134,33
135,3
136,10
137,27
138,29
139,13
140,25
141,26
142,22
143,27
144,16
145,17
146,3
147,14
148,21
149,5
150,34
151,14
152,33
153,33
154,12
155,13
156,19
157,26
158,25
159,23
160,27
161,20
162,18
163,7
164,10
165,23
166,31
167,31
168,7
169,12
170,17
171,28
172,26
173,23
174,16
175,30
176,30
177,17
178,29
179,25
180,8
181,13
182,17
183,29
184,28
185,28
186,9
187,25
188,14
189,15
190,8
191,37
192,27
193,11
194,11
195,16
196,6
197,25
198,15
199,4
200,22
201,27
202,10
203,21
204,21
205,27
206,34
207,21
208,17
209,22
210,17
211,12
212,31
213,29
214,31
215,4
216,12
217,12
218,15
219,24
220,14
221,14
222,17
223,18
224,25
225,15
226,11
227,12
228,18
229,18
230,16
231,13
232,16
233,20
234,20
235,20
236,24
237,30
238,31
239,12
240,9
241,9
242,27
243,31
244,25
245,20
246,8
247,15
248,28
249,25
250,31
251,27
252,5
253,12
254,18
255,14
256,22
257,12
258,20
259,20
260,9
261,31
262,27
263,12
264,25
265,28
266,20
267,6
268,20
269,31
270,19
271,30
272,22
273,12
274,17
275,3
276,22
277,39
278,25
279,10
280,23
281,25
282,28
283,21
284,12
285,19
286,31
287,25
288,28
289,11
290,10
291,7
292,7
293,26
294,8
295,27
296,33
297,18
298,23
299,25
300,25
301,16
302,10
303,29
304,17
305,31
306,22
307,26
308,31
309,26
310,11
311,16
312,18
313,23
314,26
315,23
316,9
317,25
318,19
319,15
320,26
321,29
322,28
323,23
324,8
325,10
326,28
327,13
328,9
329,23
330,19
331,26
332,6
333,25
334,26
335,27
336,31
337,8
338,34
339,34
340,34
341,24
342,11
343,28
344,10
345,28
346,20
347,30
348,20
349,12
350,7
351,18
352,28
353,32
354,8
355,23
356,26
357,10
358,8
359,27
360,20
361,6
362,24
363,13
364,29
365,28
366,26
367,14
368,11
369,11
370,24
371,27
372,16
373,10
374,12
375,8
376,16
377,6
378,17
379,6
380,14
381,13
382,16
383,12
384,17
385,8
386,23
387,12
388,15
389,15
390,14
391,9
392,13
393,17
394,15
395,12
396,17
397,14
398,14
399,9
400,3
401,13
402,18
403,3
404,3
405,3
406,3
407,17
408,26
409,17
410,25
411,5
412,16
413,6
414,13
415,16
416,15
417,13
418,23
419,16
420,5
421,6
422,16
423,14
424,17
425,21
426,21
427,7
428,15
429,10
430,19
431,13
432,28
433,9
434,21
435,6
